RELATÓRIO: Código Produto sem correspondência na Classificação de Produtos
Período: 10/2025
Filtros aplicados: Operação (válidas) + Dt Emissão (mês/ano)
Total de códigos sem correspondência: 33
================================================================================

Código Produto            Processo        Descrição
--------------------------------------------------------------------------------
001874                    0141802         CARREGADOR DE BATERIA PARA ANALISADOR DE GASES MODELO GEM5000
001872                    0141802         ANALISADOR PORTÁTIL DE GÁS MODELO GEM5000 + CALIBRAÇÃO RBC
001875                    0141802         CAIXA PARA  TRANSPORTE PARA OS ANALISADORES DA SÉRIE 5000
001973                    0141838         ANALISADOR PORTÁTIL DE GÁS MODELO GÁS ALERT MICROCLIP XL + CALIBRAÇÂO RBC
001873                    0141802         MALA PARA TRANSPORTE PARA OS ANALISADORES DA SÉRIE 5000 (BIOGAS/GEM/GA)
001832                    0141838         ANALISADOR PORTÁTIL DE GÁS MODELO GÁS ALERT MICROCLIP XL + CALIBRAÇÂO RBC
001876                    0141802         MANGUEIRAS PARA OS ANALISADORES DA SÉRIE 5000
CEBF00929-00              0139044         EIXO DE SUSTENTAÇÃO DO CONTRAPESO E HASTE PARA ELEVADOR DE LÍQUIDOS NUMMATIC
001786                    0141770         KIT DE TUBOS PARA ANALISADOR MODELO 5000
002175                    0141832         CAIXA PARA TRANSPORTE PARA OS ANALISADORES DA SÉRIE 5000
002176                    0141832         CARREGADOR DE BATERIA PARA ANALISADOR DE GASES MODELO GEM5000
001794                    0141770         ANALISADOR DE GÁS PORTÁTIL MODELO 5000 + CALIBRAÇÃO RBC
001793                    0141770         MALETA RÍGIDA DE TRANSPORTE PARA OS ANALISADORES DA SÉRIE 5000
002171                    0141832         ANALISADOR PORTÁTIL DE GÁS MODELO GEM5000 + CALIBRAÇÃO RBC
002172                    0141832         BOLSA SOFT DE TRASPORTE PARA OS ANALISADORES DA SÉRIE 5000 (BIOGAS/GEM/GA)
002174                    0141832         MANGUEIRAS PARA OS ANALISADORES DA SÉRIE 5000
001787                    0141770         BOLSA SOFT DE TRASPORTE PARA OS ANALISADORES DA SÉRIE 5000 (BIOGAS/GEM/GA)
001790                    0141770         CARREGADOR DE BATERIA P MODELO 5000
002173                    0141832         CD SOFTWARE GAM PARA GERENCIAMENTO DOS DADOS PARA SERIE 5000 (USB)
001998                    0141771         DETECTOR MULTIGASES GAS ALERT MAX XT II
CEBF00919-00              0139874         PLUG FALSO PARA SENSOR COH2 GEM5000
CEBF00936-00              0137800         KIT DE MANGUEIRAS, CONECTORES E ROTEADOR
002193                    0142169         ANALISADOR PORTÁTIL DE GÁS MODELO GEM5000 + CALIBRAÇÃO RBC
002197                    0142169         KIT DE TUBOS PARA ANALISADOR MODELO 5000
002201                    0142169         CARREGADOR DE BATERIA PARA ANALISADOR DE GASES MODELO GEM5000
001997                    0142298         DETECTOR MULTIGASES GAS ALERT MAX XT II
002205                    0142169         CAIXA PARA TRANSPORTE PARA OS ANALISADORES DA SÉRIE 5000
002209                    0142169         BOLSA SOFT DE TRASPORTE PARA OS ANALISADORES DA SÉRIE 5000 (BIOGAS/GEM/GA)
001740                    0141910         ANALISADOR PORTÁTIL DE GÁS MODELO GEMTM 5000 + CALIBRAÇÃO RBC
LUM50-10-10010            0140445         REAGENTE DE BIOLUMINESCÊNCIA ATP ULTRACHECK 100 PARA LUMINÔMETRO PHOTONMASTER
IONA-861286               0140011         TUBOS DE PTFE (5 UNIDADES) PARA ANALISADOR DE GÁS MODELO PHOCHECK TIGER
002141                    0141585         ANALISADOR DE GASES MODELO PHOCHECK TIGER XT+ CALIBRAÇÃO RBC
99.0020                   0141943         PALESTRAS E TREINAMENTOS ( LC 08.02 )
